timestamp,open,high,low,close,volume
1643072400000,2387.25,2401.91,2376.59,2390.18,69973.348
1643076000000,2390.19,2414.09,2381.33,2409.33,54389.277
1643079600000,2409.33,2424.41,2394.87,2414.90,47393.237
1643083200000,2414.76,2421.11,2372.77,2378.17,52242.191
1643086800000,2378.17,2395.77,2373.64,2392.41,47452.196
1643090400000,2392.42,2398.33,2361.84,2363.45,67408.238
1643094000000,2363.44,2386.33,2349.60,2382.50,83987.259
1643097600000,2382.47,2412.91,2371.63,2383.81,122245.970
1643101200000,2383.86,2434.13,2379.75,2424.47,83721.753
1643104800000,2424.56,2454.24,2415.40,2427.02,91714.274
1643108400000,2427.02,2440.57,2405.01,2422.18,72760.527
1643112000000,2422.19,2460.70,2406.38,2436.71,104478.864
1643115600000,2436.71,2441.89,2402.33,2426.06,110933.157
1643119200000,2426.00,2468.99,2383.15,2391.74,229514.746
1643122800000,2391.71,2439.32,2361.30,2418.08,229955.736
1643126400000,2417.66,2452.09,2411.01,2431.26,114198.649
1643130000000,2431.26,2492.77,2428.48,2478.80,147219.045
1643133600000,2479.08,2504.98,2463.24,2494.61,100854.722
1643137200000,2494.60,2503.00,2464.14,2464.86,81749.004
1643140800000,2464.95,2469.96,2427.54,2437.48,105021.845
1643144400000,2437.49,2441.28,2403.14,2411.76,78109.645
1643148000000,2411.76,2436.49,2402.83,2435.90,54184.930
1643151600000,2435.89,2470.08,2427.99,2457.37,89154.803
1643155200000,2457.37,2461.53,2413.06,2422.63,88696.865
1643158800000,2422.63,2448.00,2421.27,2444.18,45889.696
1643162400000,2444.17,2470.00,2441.34,2443.40,48816.199
1643166000000,2443.40,2483.50,2442.00,2474.47,69492.858
1643169600000,2474.48,2499.50,2462.52,2497.22,57142.433
1643173200000,2497.07,2498.91,2472.64,2474.12,53822.396
1643176800000,2474.13,2484.46,2443.29,2450.25,68380.373
1643180400000,2450.25,2463.50,2443.73,2460.01,39246.553
1643184000000,2460.01,2491.00,2459.01,2485.99,83120.049
1643187600000,2485.99,2526.25,2480.57,2487.40,131122.648
1643191200000,2487.40,2539.00,2474.25,2523.89,112984.335
1643194800000,2523.89,2547.51,2512.60,2544.54,113774.835
1643198400000,2544.53,2546.63,2526.94,2530.35,79090.945
1643202000000,2530.35,2634.10,2520.80,2620.67,269132.533
1643205600000,2620.66,2669.12,2612.28,2643.94,219003.427
1643209200000,2643.94,2656.84,2586.59,2604.19,165379.134
1643212800000,2604.19,2618.79,2593.87,2613.42,84607.635
1643216400000,2613.43,2635.74,2590.14,2594.30,81906.447
1643220000000,2594.31,2625.90,2560.53,2603.66,161564.814
1643223600000,2603.67,2720.06,2561.00,2572.47,585776.760
1643227200000,2572.49,2572.51,2468.01,2516.79,374946.269
1643230800000,2516.79,2533.18,2410.00,2416.70,192929.016
1643234400000,2416.70,2441.51,2400.01,2436.30,130347.954
1643238000000,2436.29,2475.00,2431.08,2461.61,113694.162
1643241600000,2461.62,2494.16,2445.27,2482.71,87605.732
1643245200000,2482.55,2482.55,2381.30,2388.66,152985.598
1643248800000,2388.66,2394.65,2355.01,2385.98,144446.813
1643252400000,2385.93,2406.01,2351.58,2363.77,119503.563
1643256000000,2363.50,2398.18,2360.00,2393.02,105851.228
1643259600000,2393.02,2409.47,2380.27,2388.52,85101.258
1643263200000,2388.96,2402.71,2374.89,2399.42,57610.818
1643266800000,2399.41,2418.80,2386.40,2401.82,65309.124
1643270400000,2402.00,2444.00,2382.93,2438.58,103406.953
1643274000000,2438.73,2447.73,2425.01,2440.05,82345.311
1643277600000,2440.05,2449.00,2416.23,2422.95,58957.967
1643281200000,2422.96,2456.65,2421.53,2454.67,87356.223
1643284800000,2454.76,2469.10,2440.35,2455.37,89943.591
1643288400000,2455.37,2489.00,2449.90,2485.01,99558.059
1643292000000,2485.00,2520.00,2472.75,2490.96,183137.513
1643295600000,2490.95,2516.72,2459.65,2478.44,151938.576
1643299200000,2478.44,2494.69,2450.19,2475.88,130844.262
1643302800000,2475.88,2486.45,2436.69,2447.70,101094.765
1643306400000,2447.69,2455.22,2411.00,2434.04,104295.801
1643310000000,2434.03,2446.90,2389.29,2393.48,118169.152
1643313600000,2393.49,2412.64,2336.00,2338.56,168642.797
1643317200000,2338.56,2370.75,2314.33,2358.44,152131.219
1643320800000,2358.44,2400.00,2326.89,2380.66,131380.666
1643324400000,2380.66,2429.84,2380.11,2422.61,125117.613
1643328000000,2422.61,2445.73,2410.62,2430.47,98633.215
1643331600000,2430.47,2438.94,2384.29,2395.32,88585.260
1643335200000,2395.32,2403.63,2361.91,2402.34,89864.304
1643338800000,2402.33,2454.99,2397.49,2445.34,112228.376
1643342400000,2445.52,2461.17,2423.44,2438.77,65816.733
1643346000000,2438.72,2457.56,2430.01,2447.44,44101.738
1643349600000,2447.43,2474.17,2419.37,2420.20,97448.903
1643353200000,2420.20,2438.52,2388.17,2389.19,103888.548
1643356800000,2389.18,2406.51,2373.85,2402.29,127568.504
1643360400000,2402.29,2419.94,2376.74,2386.92,94662.238
1643364000000,2386.93,2411.68,2371.66,2400.01,75476.875
1643367600000,2400.08,2406.17,2370.00,2395.00,80942.123
1643371200000,2395.00,2403.17,2357.00,2373.43,97252.470
1643374800000,2373.43,2440.00,2368.10,2428.99,156581.778
1643378400000,2428.99,2440.00,2377.91,2393.74,144550.024
1643382000000,2393.80,2448.00,2387.67,2442.15,139789.631
1643385600000,2442.15,2485.82,2431.15,2472.45,146460.589
1643389200000,2472.54,2493.12,2445.69,2453.67,106312.159
1643392800000,2453.48,2486.41,2450.33,2468.76,78702.967
1643396400000,2468.75,2477.35,2421.19,2459.96,90956.204
1643400000000,2459.77,2516.79,2458.69,2508.33,131971.290
1643403600000,2508.34,2549.00,2505.46,2532.99,100748.767
1643407200000,2532.99,2547.00,2514.86,2514.86,50895.870
1643410800000,2514.82,2556.93,2514.64,2543.34,71237.222
1643414400000,2543.34,2586.00,2538.00,2560.00,106916.729
1643418000000,2560.00,2569.53,2528.05,2531.60,62624.562
1643421600000,2531.60,2541.75,2519.21,2527.64,41672.349
1643425200000,2527.64,2544.84,2524.14,2540.00,37286.045
1643428800000,2540.00,2553.86,2535.59,2537.70,44607.580
1643432400000,2537.70,2540.00,2521.54,2533.00,33837.822
1643436000000,2533.00,2550.00,2527.35,2541.72,35768.968
1643439600000,2541.72,2570.00,2536.16,2566.03,59184.162
1643443200000,2566.04,2577.50,2550.83,2555.02,59181.449
1643446800000,2554.99,2554.99,2533.44,2548.56,50358.705
1643450400000,2548.56,2557.40,2535.16,2550.14,31646.887
